,channel,url,Rank,Birthyear,Age,Uploads,Subs,Total Views,Channel Creation,Gender,Country,Category,twitter,instagram,twitch,facebook,type,sb_url
0,ASMRKittyKlaw,https://www.youtube.com/channel/UCo-gAYrvd7WIrCRsNueddtQ,1.0,,,184.0,887195,141334295.0,8/14/2015,F,RS,People,0.0,1.0,1.0,0.0,channel,https://socialblade.com/youtube/channel/UCo-gAYrvd7WIrCRsNueddtQ/monthly
1,GibiASMR,https://www.youtube.com/channel/UCE6acMV3m35znLcf0JGNn7Q,2.0,1994.0,25.0,372.0,1685347,429129059.0,6/19/2016,F,US,Entertainment,1.0,1.0,1.0,0.0,channel,https://socialblade.com/youtube/channel/UCE6acMV3m35znLcf0JGNn7Q/monthly
2,GentleWhisperingASMR,https://www.youtube.com/user/GentleWhispering,3.0,1986.0,33.0,393.0,1617151,578125378.0,2/24/2011,F,US,Entertainment,0.0,1.0,0.0,1.0,user,https://socialblade.com/youtube/user/GentleWhispering/monthly
3,ASMRDarling,https://www.youtube.com/channel/UCikebqFWoT3QC9axUbXCPYw,4.0,1997.0,22.0,153.0,2250614,417889554.0,12/11/2014,F,US,Entertainment,1.0,1.0,0.0,1.0,channel,https://socialblade.com/youtube/channel/UCikebqFWoT3QC9axUbXCPYw/monthly
4,ASMRGlow,https://www.youtube.com/channel/UCFmL725KKPx2URVPvH3Gp8w,5.0,1994.0,25.0,157.0,723721,119915280.0,10/24/2016,F,Israel,People,1.0,1.0,1.0,0.0,channel,https://socialblade.com/youtube/channel/UCFmL725KKPx2URVPvH3Gp8w/monthly
5,FrivolousFox,https://www.youtube.com/channel/UCoNfsDH8sZe13u7rSxaEBkw,,,,,,,,,,,,,,,channel,https://socialblade.com/youtube/channel/UCoNfsDH8sZe13u7rSxaEBkw/monthly
6,WhispersRedASMR,https://www.youtube.com/user/WhispersRedASMR,7.0,1978.0,41.0,392.0,684380,177072880.0,4/12/2013,F,GB,People,1.0,1.0,0.0,1.0,user,https://socialblade.com/youtube/user/WhispersRedASMR/monthly
7,ASMRPPOMO,https://www.youtube.com/user/PPOMODOLI,8.0,1992.0,27.0,334.0,1703334,351067922.0,10/22/2013,F,KR,Entertainment,1.0,0.0,1.0,0.0,user,https://socialblade.com/youtube/user/PPOMODOLI/monthly
8,PelageaASMR,https://www.youtube.com/channel/UCNlMeUt5nOTQ-yfjXzRKVKA,9.0,1993.0,26.0,123.0,784179,161445940.0,8/22/2015,F,US,People,0.0,1.0,0.0,1.0,channel,https://socialblade.com/youtube/channel/UCNlMeUt5nOTQ-yfjXzRKVKA/monthly
9,GoodnightMoon,https://www.youtube.com/channel/UClMJgjg2z_IrRm6J9KrhcuQ,10.0,1998.0,21.0,87.0,430302,59183471.0,1/16/2014,F,GB,People,0.0,1.0,0.0,0.0,channel,https://socialblade.com/youtube/channel/UClMJgjg2z_IrRm6J9KrhcuQ/monthly
10,MassageASMR,https://www.youtube.com/user/MassageASMR,11.0,,,691.0,753553,283711132.0,12/5/2012,M,AU,Entertainment,0.0,0.0,0.0,1.0,user,https://socialblade.com/youtube/user/MassageASMR/monthly
11,EphermalRift,https://www.youtube.com/user/EphemeralRift,,,,,,,,,,,,,,,user,https://socialblade.com/youtube/user/EphemeralRift/monthly
12,KarunaSatori,https://www.youtube.com/user/KarunaSatoriASMR,,,,,,,,,,,,,,,user,https://socialblade.com/youtube/user/KarunaSatoriASMR/monthly
13,RaffyTaphyASMR,https://www.youtube.com/channel/UCMWQbdU4kjCB49xkuQ8nYRw,15.0,1995.0,24.0,63.0,478576,84443753.0,9/15/2015,M,US,Entertainment,0.0,0.0,0.0,0.0,channel,https://socialblade.com/youtube/channel/UCMWQbdU4kjCB49xkuQ8nYRw/monthly
14,FastASMR,https://www.youtube.com/user/fastASMR,,,,,,,,,,,,,,,user,https://socialblade.com/youtube/user/fastASMR/monthly
15,ASMRrequests,https://www.youtube.com/user/ASMRrequests,17.0,1991.0,28.0,201.0,500041,124203848.0,5/17/2012,F,US,People,1.0,1.0,0.0,1.0,user,https://socialblade.com/youtube/user/ASMRrequests/monthly
16,SAS-ASMR,https://www.youtube.com/channel/UCp4LfMtDfoa29kTlLnqQ5Mg,19.0,1982.0,37.0,557.0,5119349,1062093485.0,4/6/2016,F,CA,Entertainment,0.0,1.0,0.0,1.0,channel,https://socialblade.com/youtube/channel/UCp4LfMtDfoa29kTlLnqQ5Mg/monthly
17,Softlygaloshes,https://www.youtube.com/user/softlygaloshes,,,,,,,,,,,,,,,user,https://socialblade.com/youtube/user/softlygaloshes/monthly
18,HeatherFeatherASMR,https://www.youtube.com/user/HeatherFeatherASMR,18.0,1984.0,35.0,319.0,507166,155106841.0,9/20/2012,F,US,People,1.0,1.0,0.0,1.0,user,https://socialblade.com/youtube/user/HeatherFeatherASMR/monthly
19,FairyCharASMR,https://www.youtube.com/user/feirychaRstaRs,21.0,1998.0,21.0,253.0,412643,92724646.0,12/16/2009,F,US,Entertainment,1.0,1.0,0.0,0.0,user,https://socialblade.com/youtube/user/feirychaRstaRs/monthly
20,PJDreams,https://www.youtube.com/channel/UCLFeUtRSPnsNsmrPE6VoICg,22.0,1995.0,24.0,338.0,379590,57599987.0,6/1/2016,M,CA,Entertainment,1.0,0.0,0.0,0.0,channel,https://socialblade.com/youtube/channel/UCLFeUtRSPnsNsmrPE6VoICg/monthly
21,LatteASMR,https://www.youtube.com/channel/UCQe2Y7V-C9bNMAcCJCBvzQQ,23.0,1993.0,26.0,135.0,677225,138883059.0,1/4/2016,F,KR,People,0.0,0.0,0.0,0.0,channel,https://socialblade.com/youtube/channel/UCQe2Y7V-C9bNMAcCJCBvzQQ/monthly
22,Dr.TASMR,https://www.youtube.com/channel/UCgGhVPf9JH9S41mJwJwgNbg,24.0,,,308.0,315064,89237889.0,5/22/2016,M,US,Entertainment,1.0,0.0,0.0,1.0,channel,https://socialblade.com/youtube/channel/UCgGhVPf9JH9S41mJwJwgNbg/monthly
23,ASMRSurge,https://www.youtube.com/user/ASMRSURGE,25.0,,,142.0,651738,125914998.0,9/25/2012,M,PL,Entertainment,0.0,0.0,0.0,0.0,user,https://socialblade.com/youtube/user/ASMRSURGE/monthly
24,GwenGwiz,https://www.youtube.com/user/gwenswinarton,26.0,1995.0,24.0,236.0,368466,39537838.0,1/19/2011,F,CA,Entertainment,1.0,1.0,0.0,1.0,user,https://socialblade.com/youtube/user/gwenswinarton/monthly
25,RapunzelASMR,https://www.youtube.com/user/SoftlySpokenMe,27.0,1986.0,33.0,418.0,417877,79898568.0,5/23/2014,F,BE,Entertainment,0.0,0.0,0.0,1.0,user,https://socialblade.com/youtube/user/SoftlySpokenMe/monthly
26,CherryCrush,https://www.youtube.com/channel/UCp5oSl262QFMOsjKj_kYILA,,,,,,,,,,,,,,,channel,https://socialblade.com/youtube/channel/UCp5oSl262QFMOsjKj_kYILA/monthly
27,DanaASMR,https://www.youtube.com/user/dahampark,29.0,1994.0,25.0,248.0,Null,198678700.0,7/20/2008,F,KR,People,0.0,1.0,0.0,0.0,user,https://socialblade.com/youtube/user/dahampark/monthly
28,OliviaKissperASMR,https://www.youtube.com/user/OliviaKissperASMR,30.0,1989.0,30.0,432.0,317551,97687202.0,8/21/2013,F,CR,Entertainment,0.0,1.0,0.0,1.0,user,https://socialblade.com/youtube/user/OliviaKissperASMR/monthly
29,CosmicTinglesASMR,https://www.youtube.com/user/KaylaSuzette,31.0,1983.0,36.0,114.0,260046,56659776.0,7/3/2009,F,US,People,1.0,1.0,1.0,1.0,user,https://socialblade.com/youtube/user/KaylaSuzette/monthly
30,MissASMR,https://www.youtube.com/user/videomissasmr,32.0,1996.0,23.0,233.0,233418,53824452.0,9/26/2013,F,US,Entertainment,1.0,1.0,0.0,1.0,user,https://socialblade.com/youtube/user/videomissasmr/monthly
31,Angelica,https://www.youtube.com/channel/UCq7jt5BQ6LTULnRbLca0XdQ,33.0,,,284.0,164223,28180506.0,8/2/2015,F,US,People,1.0,1.0,0.0,0.0,channel,https://socialblade.com/youtube/channel/UCq7jt5BQ6LTULnRbLca0XdQ/monthly
32,TheOneLiliumASMR,https://www.youtube.com/user/TheOneLilium,34.0,1987.0,32.0,445.0,219256,64828412.0,4/24/2012,F,DK,People,0.0,0.0,1.0,1.0,user,https://socialblade.com/youtube/user/TheOneLilium/monthly
33,SpringbokASMR,https://www.youtube.com/channel/UC-r8XyqbggZobMiNsqgWkDg,35.0,,,135.0,158372,34688044.0,4/25/2014,F,US,Entertainment,0.0,0.0,0.0,0.0,channel,https://socialblade.com/youtube/channel/UC-r8XyqbggZobMiNsqgWkDg/monthly
34,MarnoASMR,https://www.youtube.com/channel/UC4RdEwzh0r3CuTEElRQ6dpg,36.0,1989.0,30.0,126.0,172940,18926397.0,1/14/2018,M,BE,People,1.0,1.0,0.0,0.0,channel,https://socialblade.com/youtube/channel/UC4RdEwzh0r3CuTEElRQ6dpg/monthly
35,ASMRTheChew,https://www.youtube.com/channel/UCKB6QpT1TKDfJY5W7il8G6Q,38.0,1971.0,48.0,1624.0,561606,113489035.0,11/1/2015,F,US,People,1.0,1.0,0.0,1.0,channel,https://socialblade.com/youtube/channel/UCKB6QpT1TKDfJY5W7il8G6Q/monthly
36,FredsVoiceASMR,https://www.youtube.com/user/WhisperMister1,39.0,1990.0,29.0,193.0,339108,53926121.0,5/23/2011,M,GB,Entertainment,1.0,1.0,0.0,1.0,user,https://socialblade.com/youtube/user/WhisperMister1/monthly
37,TirarADeguello,https://www.youtube.com/user/TirarADeguello,37.0,,,602.0,129832,27883383.0,9/25/2010,M,US,People,1.0,0.0,0.0,0.0,user,https://socialblade.com/youtube/user/TirarADeguello/monthly
38,LauraLemurexASMR,https://www.youtube.com/user/LauraLemureX,40.0,1996.0,23.0,264.0,153231,33505260.0,11/14/2011,F,GB,People,1.0,0.0,0.0,1.0,user,https://socialblade.com/youtube/user/LauraLemureX/monthly
39,SensorAdiASMR,https://www.youtube.com/user/SensorAdi,41.0,,,658.0,201662,50998182.0,10/13/2013,M,US,Entertainment,1.0,1.0,0.0,1.0,user,https://socialblade.com/youtube/user/SensorAdi/monthly
